Categoría,Subcategoría,Producto,Aplicaciones/Especificación,UOM,Stock inicial sugerido,Punto de reorden,Notas,Foto,Ficha tecnica,Precio de compra ,Precio de venta ,Link de video 
Automotriz ,Antiniebla,Capa antiniebla,Film anti-empañante para espejos retrovisores.,unidad,49,,Ofrecer con y sin mantenimiento,,https://drive.google.com/file/d/1yswrUbJUTACQFesXQgO-rBxNkOKdiAtx/view?usp=sharing,,$5.00,https://youtube.com/shorts/o3wyXTfarYM?si=HtXCdVOT07Uty9ZE
Automotriz ,cajas de boton de encendido ,Botones de presion para encender el auto ,"Automóviles, camionetas y SUVs de 12V.",unidad ,5,,caja ,,https://drive.google.com/file/d/1RewTlxWpDbIu2J8CXjgaV_T3yrDB-Ept/view?usp=sharing,,,https://youtube.com/shorts/psW3SoRa-RE?si=P66ZC7viD7V9_frm
Automotriz ,plumas SPARCO#3,pack de plumas para autos,"ompatible con la mayoría de automóviles, SUVs y camionetas que usen brazo estándar de 20”.",unidades,2,,caja que lleva el par ,,https://drive.google.com/file/d/1qOmu9ocp8z247EXCBv2kupn_h-vNGb1F/view?usp=sharing,,,https://youtube.com/shorts/bUmhnH_uYoY?si=yQhlyxMM0-tnY8dL
Automotriz ,Bolsa de packs con tapas de valvulas #6,pack de cuatro tapas de valvulas,Tapones decorativos y protectores para válvulas de llantas.,unidades,5 pack,,"Packs de 4 tapas de valvulas cada uno de color negro, incluye tornilleria y llave ALLEN. ",,https://drive.google.com/file/d/1glgPpWBxPEgqPN1K07hJcshYgR7Gbphd/view?usp=sharing,,,https://youtube.com/shorts/Att28VXq7q8?si=s7PAPsemRKt-hrlX
Automotriz ,Repuestos focos pare,Repuestos para discos o focos pare,Módulo de relés automotriz con cableado preinstalado para sistemas eléctricos de 12V.,unidades,10,,Repuestos para discos o focos pare,,https://drive.google.com/file/d/1HG5o3g5dL6WTtZRJwb3rcbN9xXQsF-C4/view?usp=sharing,,,
Automotriz ,Kit de iluminaciòn LED,Kit de iluminaciòn LED para carro YISSDA,"kit de luces LED RGB automotrices con control. Generalmente se instalan en el interior del vehículo (debajo de asientos, tablero, puertas, etc.) o en el exterior (rines, bajos) para efectos decorativos.",kit,1,,"Kit de luces LED para carro marca YISSDA, color RGB, con control remoto",,https://drive.google.com/file/d/1qskhwCKKY0PqToogyYReXRNTAXdepLND/view?usp=sharing,,,
Automotriz ,Kit de luces estroboscópicas LED,Kit de luces estroboscópicas LED12V DC,"Caja es un kit de luces estroboscópicas LED para vehículos, normalmente usado en autos de emergencia, seguridad o como accesorio decorativo de advertencia.",caja,1,,"Alta potencia, 3 LEDs por módulo con lente óptico.",,https://drive.google.com/file/d/1kDArznmtYi9EFOLqFrLxDPXqNltaBYUe/view?usp=sharing,,,
Automotriz ,Kits probadores de circuitos #1,"Kit probador de circuitos multilenguaje, marca: TOPDIAG, modelo P-100.","TopDiag P-100 – Vehicle Electrical System Circuit Tester, un probador avanzado de circuitos eléctricos automotrices.",caja,2,,Muestra voltaje en tiempo real,,https://drive.google.com/file/d/1NpeYG1bPQ4jbDv64K7XhQulblHV3pmcs/view?usp=sharing,,,https://youtu.be/_UWjbfJfw_o?si=XudmqF8-xGL0pF_D
Automotriz ,Juegos de LEDS,LEDS para auto con switch rojo de enendido,"Módulo de Luces LED Automotrices 12V con interruptor. Se suele usar como faro auxiliar, luz decorativa o iluminación interna/externa en vehículos.",unidades,2,,"Conectar siempre a 12V DC estable.

Instalar en superficies firmes y alejadas de humedad.",,https://drive.google.com/file/d/1ZQP5wGzZr38jJdmD1Hx8srROdVI6o6cW/view?usp=sharing,,,
Automotriz ,Amortiguadores,Amortiguadores con 4 piezas metalicas con orificios,"No son los amortiguadores de suspensión (los que van en las llantas para absorber baches), sino los que ayudan a levantar y sostener las tapas del auto.",par,2,,Amortiguadores con 4 piezas metalicas con orificios,,https://drive.google.com/file/d/1r-LdrQENRwv0ey_kefcoIz3tZcWUeb0m/view?usp=sharing,,,
